   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     27   11599      16      61 |   11642      77 | (unknown)
   1519    2128       0      56 |    3647      56 | /usr/local/go/src/syscall
   3850      58      12     536 |    3920     548 | C musl
     75       0       0       0 |      75       0 | Go interface method
      0      53       0       0 |      53       0 | Go reflect data
     47       0       0       0 |      47       0 | errors
   7180      32       0       0 |    7212       0 | github.com/bxparks/AceTimeGo/acetime
    295       0       0       0 |     295       0 | github.com/bxparks/AceTimeGo/strbuild
    186       0       0       0 |     186       0 | github.com/bxparks/AceTimeGo/zoneinfo
     80       0       0       0 |      80       0 | internal/bytealg
    162       2       0       0 |     164       0 | internal/itoa
    479      24       0      16 |     503      16 | internal/task
    850     137       0       0 |     987       0 | main
   3081     678       0       0 |    3759       0 | reflect
   6704     202      12      91 |    6918     103 | runtime
    577     124       0       0 |     701       0 | strings
    620     200       0       0 |     820       0 | sync
    189    2954       0       0 |    3143       0 | syscall
  17836     938     168     128 |   18942     296 | time
------------------------------- | --------------- | -------
  43757   19129     208     888 |   63094    1096 | total
