   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     27   11674      16      61 |   11717      77 | (unknown)
   1519    2128       0      56 |    3647      56 | /usr/local/go/src/syscall
   3850      58      12     536 |    3920     548 | C musl
     75       0       0       0 |      75       0 | Go interface method
      0      53       0       0 |      53       0 | Go reflect data
     47       0       0       0 |      47       0 | errors
   7194      32       0       0 |    7226       0 | github.com/bxparks/AceTimeGo/acetime
    295       0       0       0 |     295       0 | github.com/bxparks/AceTimeGo/internal/strbuild
    186       0       0       0 |     186       0 | github.com/bxparks/AceTimeGo/zoneinfo
     80       0       0       0 |      80       0 | internal/bytealg
    162       2       0       0 |     164       0 | internal/itoa
    479      24       0      16 |     503      16 | internal/task
    850     137       0       0 |     987       0 | main
   3081     678       0       0 |    3759       0 | reflect
   6718     239      12      91 |    6969     103 | runtime
    613     124       0       0 |     737       0 | strings
    620     200       0       0 |     820       0 | sync
    189    2954       0       0 |    3143       0 | syscall
  17958     938     168     128 |   19064     296 | time
------------------------------- | --------------- | -------
  43943   19241     208     888 |   63392    1096 | total
