   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
   1452     693      14       9 |    2159      23 | (unknown)
     66       0       0       0 |      66       0 | /usr/local/lib/tinygo/src/examples/blinky1/usr/local/lib/tinygo/src/device/esp
     57       0       0       0 |      57       0 | /usr/local/lib/tinygo/src/examples/blinky1/usr/local/lib/tinygo/src/internal/task
      0       0       0    4096 |       0    4096 | C stack
    114       0       0       0 |     114       0 | Go interface method
      0      61       0       0 |      61       0 | Go reflect data
     17       0       0       0 |      17       0 | errors
    205       0       0       0 |     205       0 | github.com/bxparks/AceTimeGo/acetime
    132       2       0       0 |     134       0 | internal/itoa
    284      24       0       8 |     308       8 | internal/task
     25       0       0       0 |      25       0 | machine
    185     156       0       0 |     341       0 | main
   2659     622       0       0 |    3281       0 | reflect
   3097     172       0      47 |    3269      47 | runtime
     92       0       0       0 |      92       0 | runtime/interrupt
     92       0       0       0 |      92       0 | runtime/volatile
     80      64       0       0 |     144       0 | strings
    143      38       0       0 |     181       0 | sync
     28       6       0       0 |      34       0 | syscall
  10647     736      96      92 |   11479     188 | time
------------------------------- | --------------- | -------
  19375    2574     110    4252 |   22059    4362 | total
