   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     25   10129      20     629 |   10174     649 | (unknown)
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/crt
   1020       0       0       0 |    1020       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/env
      5       0       0       0 |       5       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/errno
    155       0       0       0 |     155       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/exit
    553       0       0       0 |     553       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/internal
    161       0       0       0 |     161       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/mman
    100       0       0       0 |     100       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/signal
   1258       0       0       0 |    1258       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/string
    106       0       0       0 |     106       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread
     16       0       0       0 |      16       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread/x86_64
    152       0       0       0 |     152       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/time
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/unistd
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/internal/task
     36       0       0       0 |      36       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/runtime
   1652    2128       0      56 |    3780      56 | /usr/local/go/src/syscall
    274       0       0       0 |     274       0 | C musl
     55       0       0       0 |      55       0 | Go interface assert
     99       0       0       0 |      99       0 | Go interface method
      0      53       0       0 |      53       0 | Go reflect data
     42       0       0       0 |      42       0 | errors
    161       0       0       0 |     161       0 | github.com/bxparks/AceTimeGo/acetime
     26       0       0       0 |      26       0 | internal/bytealg
    157       2       0       0 |     159       0 | internal/itoa
    420      24       0      16 |     444      16 | internal/task
    227     156       0       0 |     383       0 | main
   3076     678       0       0 |    3754       0 | reflect
   6712     202      12      91 |    6926     103 | runtime
    106      72       0       0 |     178       0 | strings
    633     200       0       0 |     833       0 | sync
     71    2954       0       0 |    3025       0 | syscall
  18263    1003     168     160 |   19434     328 | time
------------------------------- | --------------- | -------
  35667   17601     200     952 |   53468    1152 | total
