   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     27   10330      16      61 |   10373      77 | (unknown)
   1537    2128       0      56 |    3665      56 | /usr/local/go/src/syscall
   3850      58      12     536 |    3920     548 | C musl
     86       0       0       0 |      86       0 | Go interface method
      0      53       0       0 |      53       0 | Go reflect data
     47       0       0       0 |      47       0 | errors
    161       0       0       0 |     161       0 | github.com/bxparks/AceTimeGo/internal/strbuild
     26       0       0       0 |      26       0 | internal/bytealg
    162       2       0       0 |     164       0 | internal/itoa
    479      24       0      16 |     503      16 | internal/task
    274     156       0       0 |     430       0 | main
   3084     678       0       0 |    3762       0 | reflect
   6721     239      12      91 |    6972     103 | runtime
    136      72       0       0 |     208       0 | strings
    630     200       0       0 |     830       0 | sync
    180    2954       0       0 |    3134       0 | syscall
  18568    1003     168     160 |   19739     328 | time
------------------------------- | --------------- | -------
  35968   17897     208     920 |   54073    1128 | total
