   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
      0       6       6      14 |      12      20 | (padding)
     27    4458      22      24 |    4507      46 | (unknown)
   3002      27       4     536 |    3033     540 | C musl
      0      32       0       0 |      32       0 | Go types
   6698      63       0       0 |    6761       0 | github.com/bxparks/acetimego/acetime
    470       0       0       0 |     470       0 | github.com/bxparks/acetimego/internal/strbuild
      0   33974    1544       0 |   35518    1544 | github.com/bxparks/acetimego/zonedb
   2446       0       0       0 |    2446       0 | github.com/bxparks/acetimego/zoneinfo
     59       0       0       0 |      59       0 | internal/bytealg
    365      24       0      16 |     389      16 | internal/task
    316     158       0       0 |     474       0 | main
   3438     172       8      91 |    3618      99 | runtime
    575     124       0       0 |     699       0 | strings
------------------------------- | --------------- | -------
  17396   39038    1584     681 |   58018    2265 | total
