   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
      0       0       2       5 |       2       7 | (padding)
   1262       4       2       0 |    1268       2 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
     66       0       0       0 |      66       0 | device/esp
   5929      31       0       0 |    5960       0 | github.com/bxparks/acetimego/acetime
    436       0       0       0 |     436       0 | github.com/bxparks/acetimego/internal/strbuild
      0   33974    1436       0 |   35410    1436 | github.com/bxparks/acetimego/zonedb
   1996       0       0       0 |    1996       0 | github.com/bxparks/acetimego/zoneinfo
     54       0       0       0 |      54       0 | internal/bytealg
    302      24       0       8 |     326       8 | internal/task
     20       0       0       0 |      20       0 | machine
    252     158       0       0 |     410       0 | main
   2191     172       0      47 |    2363      47 | runtime
     56       0       0       0 |      56       0 | runtime/interrupt
    101       0       0       0 |     101       0 | runtime/volatile
    435     108       0       0 |     543       0 | strings
------------------------------- | --------------- | -------
  13100   34471    1440    4156 |   49011    5596 | total
