   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     25    4272      32     601 |    4329     633 | (unknown)
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/crt
   1020       0       0       0 |    1020       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/env
      5       0       0       0 |       5       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/errno
    155       0       0       0 |     155       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/exit
    553       0       0       0 |     553       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/internal
    161       0       0       0 |     161       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/mman
    100       0       0       0 |     100       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/signal
   1258       0       0       0 |    1258       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/string
    106       0       0       0 |     106       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread
     16       0       0       0 |      16       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread/x86_64
    152       0       0       0 |     152       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/time
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/unistd
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/internal/task
     36       0       0       0 |      36       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/runtime
    147       0       0      24 |     147      24 | /usr/local/go/src/syscall
    274       0       0       0 |     274       0 | C musl
   7685      29       0       0 |    7714       0 | github.com/bxparks/AceTimeGo/acetime
      0      97     560       0 |     657     560 | github.com/bxparks/AceTimeGo/zonedbtesting
    535       0       0       0 |     535       0 | github.com/bxparks/AceTimeGo/zoneinfo
     59       0       0       0 |      59       0 | internal/bytealg
      0      38      32       0 |      70      32 | internal/oserror
    305      24       0      16 |     329      16 | internal/task
    252     165       0       0 |     417       0 | main
     72      16       0      24 |      88      24 | os
   2849     146       8     135 |    3003     143 | runtime
    590     124       0       0 |     714       0 | strings
      0       0       0       8 |       0       8 | syscall
------------------------------- | --------------- | -------
  16461    4911     632     808 |   22004    1440 | total
