   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     25   20335      26     633 |   20386     659 | (unknown)
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/crt
   1020       0       0       0 |    1020       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/env
      5       0       0       0 |       5       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/errno
    155       0       0       0 |     155       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/exit
    553       0       0       0 |     553       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/internal
    161       0       0       0 |     161       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/mman
    100       0       0       0 |     100       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/signal
   1258       0       0       0 |    1258       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/string
    106       0       0       0 |     106       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread
     16       0       0       0 |      16       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread/x86_64
    152       0       0       0 |     152       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/time
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/unistd
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/internal/task
     36       0       0       0 |      36       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/runtime
   1772    2128       0      56 |    3900      56 | /usr/local/go/src/syscall
    274       0       0       0 |     274       0 | C musl
    234       0       0       0 |     234       0 | Go interface assert
    560       0       0       0 |     560       0 | Go interface method
      0     917       0       0 |     917       0 | Go reflect data
     49       0       0       0 |      49       0 | errors
  13219     241       0       0 |   13460       0 | fmt
   7626     131       0       0 |    7757       0 | github.com/bxparks/AceTimeGo/acetime
      0    8953   90328       0 |   99281   90328 | github.com/bxparks/AceTimeGo/zonedb
    224       0       0       0 |     224       0 | github.com/bxparks/AceTimeGo/zoneinfo
     80       0       0       0 |      80       0 | internal/bytealg
     79       0       0       0 |      79       0 | internal/fmtsort
    157       1       0       0 |     158       0 | internal/itoa
      0      38      32       0 |      70      32 | internal/oserror
    427      24       0      16 |     451      16 | internal/task
    349      25       0       0 |     374       0 | io/fs
   1970     450       0       0 |    2420       0 | main
     29       0       0       0 |      29       0 | math
    293     320       0       0 |     613       0 | math/bits
    137      16      48      24 |     201      72 | os
   3822     902       0       0 |    4724       0 | reflect
   7176     217      12     119 |    7405     131 | runtime
   9086   16619    1322       0 |   27027    1322 | strconv
    540     124       0       0 |     664       0 | strings
    633     200       0       0 |     833       0 | sync
     80    2954       0       8 |    3034       8 | syscall
  20804    1071     168     160 |   22043     328 | time
   1229     288       0       0 |    1517       0 | unicode/utf8
------------------------------- | --------------- | -------
  74542   55954   91936    1016 |  222432   92952 | total
