   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
      0       3       0       7 |       3       7 | (padding)
   1035     181       0       0 |    1216       0 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
      4       0       0       0 |       4       0 | Go interface method
      0      92       0       0 |      92       0 | Go types
     66       0       0       0 |      66       0 | device/esp
    265       0       0       0 |     265       0 | github.com/bxparks/acetimego/ds3231
    331      24       0       8 |     355       8 | internal/task
    601       0       0       0 |     601       0 | machine
    127       6       8       0 |     141       8 | main
   2127     110       0      57 |    2237      57 | runtime
     55       0       0       0 |      55       0 | runtime/interrupt
    141       0       0       0 |     141       0 | runtime/volatile
    986      32       8       0 |    1026       8 | tinygo.org/x/drivers/i2csoft
------------------------------- | --------------- | -------
   5738     448      16    4168 |    6202    4184 | total
