   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
      0      11       0       9 |      11       9 | (padding)
   2858     899       0       0 |    3757       0 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
     12       0       0       0 |      12       0 | Go interface method
      0     280       0       0 |     280       0 | Go types
     66       0       0       0 |      66       0 | device/esp
     13       0       0       0 |      13       0 | errors
   6180      28       0       0 |    6208       0 | github.com/bxparks/acetimego/acetime
    224       0       0       0 |     224       0 | github.com/bxparks/acetimego/internal/strbuild
    179       0       0       0 |     179       0 | github.com/bxparks/acetimego/zoneinfo
     57       0       0       0 |      57       0 | internal/bytealg
    161       2       0       0 |     163       0 | internal/itoa
   4094     590      48       0 |    4732      48 | internal/reflectlite
     37       0       0       0 |      37       0 | internal/stringslite
    400      62       0       8 |     462       8 | internal/task
      9       0       0       0 |       9       0 | machine
    813     137       0       0 |     950       0 | main
     19       0       0       0 |      19       0 | math/bits
   3360     213       0      63 |    3573      63 | runtime
     79       0       0       0 |      79       0 | runtime/interrupt
    107       0       0       0 |     107       0 | runtime/volatile
    439     108       0       0 |     547       0 | strings
    105       0       0       0 |     105       0 | sync
     32       6       0       0 |      38       0 | syscall
   8002     532      64      76 |    8598     140 | time
    368     288       0       0 |     656       0 | unicode/utf8
------------------------------- | --------------- | -------
  27614    3156     112    4252 |   30882    4364 | total
